scenario_id,run_id,day,x,y,dist_to_lane_km,in_lane
sc_00000,0,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,0,1,78.23345382210954,469.62308773632157,69.89722873180136,False
sc_00000,0,2,112.31105726128203,493.36801976374966,48.25162373484738,False
sc_00000,0,3,130.22740975768767,502.3888353204461,38.4027042451117,False
sc_00000,0,4,175.60429202752974,524.6318483493062,13.72537542085844,True
sc_00000,0,5,222.35305641301198,553.1136330326152,14.159279644521737,True
sc_00000,0,6,283.1182492945867,566.037508037702,39.749247503327716,False
sc_00000,0,7,323.5951730592974,579.5346535198452,58.95670290951879,False
sc_00000,0,8,380.50358401895494,606.4279645153811,89.46205279357333,False
sc_00000,0,9,406.3388241838902,630.5693491957085,108.58700120033834,False
sc_00000,0,10,448.06284717127005,646.499532281592,129.27818309802205,False
sc_00000,0,11,469.70107824213807,682.3775974678153,152.2199705563233,False
sc_00000,1,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,1,1,95.56229465927396,511.810514854289,45.575163130171994,False
sc_00000,1,2,149.2433368719091,504.8945098267208,31.07493617831206,False
sc_00000,1,3,183.2848315099498,534.7592388261869,6.735145320180464,True
sc_00000,1,4,215.54984158344178,546.0780667252563,8.823124473673827,True
sc_00000,1,5,243.8296813042414,594.0766540727741,39.29662791355457,False
sc_00000,1,6,284.36178327257977,615.2686622221639,61.92457614022005,False
sc_00000,1,7,325.83794762708874,643.3376789042935,87.902126848715,False
sc_00000,1,8,369.88502992461883,679.3400129968403,118.22846980474614,False
sc_00000,1,9,420.49722229899396,692.5441297996559,140.6214545212348,False
sc_00000,1,10,498.0090023783528,719.759105883225,178.008095979757,False
sc_00000,1,11,518.7271331208321,742.4377648564533,194.8125379227087,False
sc_00000,2,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,2,1,116.2690830114275,459.373162601794,61.98855015310733,False
sc_00000,2,2,167.21876436692557,475.7456585097591,38.08421248761335,False
sc_00000,2,3,229.00627896869284,487.28746552942755,12.770968482984648,True
sc_00000,2,4,281.0640162115851,487.3104250448889,4.266507797804363,True
sc_00000,2,5,320.77896832053244,515.9850108276529,29.93575681975046,False
sc_00000,2,6,348.27025885292227,539.2785697245715,49.22749113048341,False
sc_00000,2,7,382.8261916846595,529.5856366484493,56.24429765338266,False
sc_00000,2,8,429.0343327414948,547.6119922143794,79.32903557368363,False
sc_00000,2,9,456.9392644632305,556.7832391725739,92.5115895932429,False
sc_00000,2,10,514.0008764407273,549.4816213347508,107.94704466986542,False
sc_00000,2,11,577.5521043847764,581.802642829615,143.02513878488847,False
sc_00000,3,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,3,1,87.42544043805758,513.9118564493717,47.30745686698445,False
sc_00000,3,2,107.30084184507359,535.8346751091784,31.112869999985605,False
sc_00000,3,3,103.53214752316849,602.442486224901,2.8935147786942905,True
sc_00000,3,4,128.12493391718905,632.6535045439639,18.50886092900265,True
sc_00000,3,5,141.1647590305858,679.7476679310483,43.59766853781916,False
sc_00000,3,6,175.38096487338072,703.1092487900917,65.1191015978797,False
sc_00000,3,7,188.80501369839976,750.5376907451288,90.48139143796283,False
sc_00000,3,8,180.23549514580145,780.8156111339931,101.0664445133417,False
sc_00000,3,9,193.74595718614316,828.0258248962871,126.3605046817511,False
sc_00000,3,10,214.45948510576875,846.9324445814226,141.49555486341566,False
sc_00000,3,11,260.7340688301444,884.4178255108335,173.20624119625663,False
sc_00000,4,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,4,1,109.213839795528,471.2377156941249,59.050056122269986,False
sc_00000,4,2,155.61176721119512,476.17035494357657,41.69290301617854,False
sc_00000,4,3,175.61355864485398,520.4202663333327,15.584583722530411,True
sc_00000,4,4,204.9297994588148,545.9500059145591,5.2928392934468045,True
sc_00000,4,5,238.06529822576226,603.7971468588669,41.7093021993312,False
sc_00000,4,6,261.4124406065585,621.2753303402411,57.07415612948296,False
sc_00000,4,7,277.0949720816135,663.5161931696961,80.88136574421861,False
sc_00000,4,8,322.28390413798957,698.532119395359,111.14503013454103,False
sc_00000,4,9,329.41844792504605,741.1735781179548,132.3334499051467,False
sc_00000,4,10,349.56141960090855,772.5365091948186,152.78969869277682,False
sc_00000,4,11,381.37916072734026,819.5338490942414,183.97767537456366,False
sc_00000,5,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,5,1,80.71871208561474,474.8597028700614,66.76885795539847,False
sc_00000,5,2,137.7081598716232,506.6529896594174,34.070375094565094,False
sc_00000,5,3,189.2274879661661,516.2326751369943,12.98329784552425,True
sc_00000,5,4,220.05305338070107,562.6045467544176,17.603588763681405,True
sc_00000,5,5,278.0552821656024,572.1085700991152,40.77767238581036,False
sc_00000,5,6,300.73637215951237,574.8437697583728,49.40575096735756,False
sc_00000,5,7,346.0590897316173,592.7912217631559,72.1659909558774,False
sc_00000,5,8,377.6048951879992,615.3384312701746,92.45388375225053,False
sc_00000,5,9,401.8967772082707,602.4292548573777,94.69134000324972,False
sc_00000,5,10,433.43524850775884,641.5712489122272,122.31456577192924,False
sc_00000,5,11,498.59649628691693,645.4243042883958,145.3315658212469,False
sc_00000,6,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,6,1,127.9220560186093,483.25115409845307,47.6188786654178,False
sc_00000,6,2,170.52982641710923,504.18759605320196,24.42501361263272,False
sc_00000,6,3,201.66985095674622,505.51647859114735,13.651973891127113,True
sc_00000,6,4,254.3805846675095,511.48175687406285,6.226608794081192,True
sc_00000,6,5,309.92290093041095,475.4090969302473,8.44340506921209,True
sc_00000,6,6,358.628503241545,461.6310739525195,18.282053333193787,True
sc_00000,6,7,429.622534022829,483.95802793029725,51.37549290800875,False
sc_00000,6,8,459.99830851420717,474.02127945479924,56.91722270332421,False
sc_00000,6,9,520.1449722488308,446.283464683162,64.32546019301631,False
sc_00000,6,10,543.3559452443333,458.64166921128253,77.38186908403064,False
sc_00000,6,11,579.7599044982071,455.6204475456825,87.95317507369482,False
sc_00000,7,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,7,1,100.35267174565323,484.44207135995146,56.109831889594496,False
sc_00000,7,2,128.376538099787,505.11460040923765,37.802843111452184,False
sc_00000,7,3,154.3403437797152,532.5522136762063,17.17834623653513,True
sc_00000,7,4,190.06796689098152,551.1703139285561,2.7400199112579298,True
sc_00000,7,5,210.5272155407026,581.0449740585958,22.641648071848614,True
sc_00000,7,6,249.15395913120634,637.7645052685389,60.35562054048011,False
sc_00000,7,7,281.8419953805254,658.5047109594011,80.21811570052753,False
sc_00000,7,8,332.47482282148843,674.63249299102,103.91060971572185,False
sc_00000,7,9,376.14712411833665,682.3095419892567,121.58974869619412,False
sc_00000,7,10,383.53785099115106,722.209922310774,141.6499369293728,False
sc_00000,7,11,412.7665651978051,744.6770729308284,161.14454336174177,False
sc_00000,8,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,8,1,137.7442914620236,455.304786173558,56.76324157424312,False
sc_00000,8,2,168.60860383450395,490.8680054710161,30.942953609249024,False
sc_00000,8,3,206.62849353234188,521.1625840742342,5.111820917478911,True
sc_00000,8,4,288.06574529418486,535.1830361703085,27.72454951829498,False
sc_00000,8,5,310.64644043811813,552.7083617664449,42.85955464465051,False
sc_00000,8,6,329.9850866487345,552.0040921153316,48.873535306601504,False
sc_00000,8,7,352.85130604097384,566.6843960026079,62.84394524801894,False
sc_00000,8,8,388.6549462583109,570.216713114833,76.11668021727911,False
sc_00000,8,9,436.4824226898695,603.3382606374834,106.40573461514451,False
sc_00000,8,10,482.71250355831955,651.3058433742344,142.73678998456936,False
sc_00000,8,11,545.8428296358389,645.8320802013127,160.96545691606835,False
sc_00000,9,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,9,1,128.7913321166937,487.207708992878,45.58507748255631,False
sc_00000,9,2,160.48600762262078,491.4877399885681,33.32570738836875,False
sc_00000,9,3,191.86415353342886,474.854902914406,30.416932511799047,False
sc_00000,9,4,238.5776430193081,495.1097014975229,6.181549718221792,True
sc_00000,9,5,287.50724660341945,486.93793865917763,6.209291530842036,True
sc_00000,9,6,329.28798455360413,485.86199022079967,19.399406506613172,True
sc_00000,9,7,359.6652193543354,494.66301111294905,33.2269114773981,False
sc_00000,9,8,376.6809278744723,505.62829096938026,43.641029151213836,False
sc_00000,9,9,430.0102380570104,480.6842148551367,50.05472014469273,False
sc_00000,9,10,478.5082227909715,483.99422779104253,67.38129303586543,False
sc_00000,9,11,508.7024039191687,501.45426097171793,84.977687632471,False
sc_00000,10,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,10,1,106.0716251594543,453.22241097020833,68.04367320150935,False
sc_00000,10,2,121.16696649437353,486.1346023344851,48.55339253824595,False
sc_00000,10,3,143.74153305520815,499.91710489246634,35.07535964965573,False
sc_00000,10,4,178.78488104732494,531.4929627290769,9.651265730385191,True
sc_00000,10,5,212.02811965331907,569.1973146489541,17.893880876013284,True
sc_00000,10,6,260.777840890687,591.5474704210072,43.72179139201546,False
sc_00000,10,7,296.10107926244706,628.7392506470393,71.72063117190982,False
sc_00000,10,8,322.78126927079387,652.5216164300195,90.9632025792258,False
sc_00000,10,9,354.72502596391894,678.7612112688237,113.0139249818155,False
sc_00000,10,10,399.5512944788417,706.2345341531859,139.8238472489687,False
sc_00000,10,11,448.4375340011003,716.6716533749826,160.42881205255432,False
sc_00000,11,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,11,1,101.15013645108868,493.5536471414101,51.82011861169882,False
sc_00000,11,2,137.57829004625444,479.4422471772461,46.144653827374206,False
sc_00000,11,3,177.9706732791421,491.15273932579476,27.754856617750782,False
sc_00000,11,4,231.00829545470862,455.5527027733994,26.14832879480322,False
sc_00000,11,5,261.9931009402821,462.73089868542087,12.83966242631875,True
sc_00000,11,6,284.1954004038707,461.2685081404624,6.22424172630175,True
sc_00000,11,7,318.9620264792201,473.26904068048907,10.453700060941784,True
sc_00000,11,8,380.0200210178999,469.40972414896896,28.718399090681405,False
sc_00000,11,9,433.7424598140987,445.7153845367663,35.81327389509668,False
sc_00000,11,10,458.9930699000194,450.0470060846691,45.987696310960736,False
sc_00000,11,11,477.8940973421914,458.817146679913,56.04784738054766,False
sc_00000,12,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,12,1,109.96309560029377,500.9411551850986,45.67098705982455,False
sc_00000,12,2,147.44310650652898,522.2305087151266,23.99828986689323,False
sc_00000,12,3,164.83998507087455,535.5824547295061,12.404182574204288,True
sc_00000,12,4,187.6840474391166,580.390196711741,14.880458450228794,True
sc_00000,12,5,207.5182073101529,614.152344604664,36.296563424903,False
sc_00000,12,6,220.85333672535347,642.9083622910606,53.373365202645985,False
sc_00000,12,7,226.92748292028662,682.6733092735741,72.94303446765004,False
sc_00000,12,8,224.81697798866566,706.335986961836,82.71566816658894,False
sc_00000,12,9,235.625315334623,728.0614374013009,95.85728053387257,False
sc_00000,12,10,283.7662916420387,788.1988620623259,138.19451257079996,False
sc_00000,12,11,306.20859001331945,829.2769482895978,163.698596992014,False
sc_00000,13,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,13,1,99.07366851404291,489.2914213567302,54.38393337588892,False
sc_00000,13,2,130.13037041114566,525.8148470476618,28.076142226161416,False
sc_00000,13,3,149.74513249109765,548.9088581663922,11.448939372240119,True
sc_00000,13,4,199.1331008554054,584.7619503455097,20.55833883869173,True
sc_00000,13,5,219.68239295897658,648.8279818521387,55.60785051066166,False
sc_00000,13,6,265.3635108095333,664.3016545523782,77.39148460903088,False
sc_00000,13,7,322.64560296389755,679.7116384209694,102.9414663283915,False
sc_00000,13,8,339.11267092394485,717.4956609384158,125.03460097601274,False
sc_00000,13,9,369.8146321229864,740.1668478501756,145.10130386968484,False
sc_00000,13,10,426.61746077185,765.5573330635686,174.90761340092078,False
sc_00000,13,11,446.5570189862203,798.4595811375492,195.97796990052308,False
sc_00000,14,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,14,1,112.17324756927937,486.4795571709252,51.34257740863662,False
sc_00000,14,2,132.71202315377303,500.7600552132416,38.310222821893,False
sc_00000,14,3,177.23792016219477,515.5674490335898,17.199053734241648,True
sc_00000,14,4,189.59951896998035,553.1545062260027,3.46414966902107,True
sc_00000,14,5,208.4420456070517,603.8789839210419,32.05615562725391,False
sc_00000,14,6,250.75365145596257,607.5836090073549,47.533740526218864,False
sc_00000,14,7,272.08426368579774,623.8631285166606,61.70900254264835,False
sc_00000,14,8,324.9627904222786,658.9049353622984,94.49926451306062,False
sc_00000,14,9,361.5214644024247,706.2810875092558,127.40543074802348,False
sc_00000,14,10,385.37648109069494,727.3772063301543,144.53614888786922,False
sc_00000,14,11,406.3398766933835,745.683449728282,159.4874581719974,False
sc_00000,15,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,15,1,102.34728960977532,489.90542551832414,53.04168499686369,False
sc_00000,15,2,131.7332326212759,542.7295398837628,20.07268342334187,True
sc_00000,15,3,157.84765200917872,559.584610584205,4.078216047838921,True
sc_00000,15,4,163.3231274480832,594.0412262023733,12.948446779000495,True
sc_00000,15,5,213.67811796869137,604.5681087469204,34.07350928126433,False
sc_00000,15,6,246.34073226208352,626.8862411443154,54.62540266314789,False
sc_00000,15,7,294.82530544735266,686.777069891726,96.96598265936794,False
sc_00000,15,8,337.0818358494013,729.8268380616254,129.82283300020458,False
sc_00000,15,9,355.6517738771795,751.737570480516,145.58507770993964,False
sc_00000,15,10,382.6934098425285,774.753342642946,164.60690736226536,False
sc_00000,15,11,422.3757633483341,798.8426910805216,188.23803504458505,False
sc_00000,16,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,16,1,107.43357602308802,475.5721303415047,57.71580205748299,False
sc_00000,16,2,126.68665137567987,488.9627393812445,45.49746428427279,False
sc_00000,16,3,157.44018089876965,485.6088526202129,36.921426039679645,False
sc_00000,16,4,206.34521657256016,493.753196216915,17.324112096480565,True
sc_00000,16,5,233.28492064236823,510.8583744231975,0.9491158986426385,True
sc_00000,16,6,272.77441575042997,536.1955288789354,23.17067421223131,False
sc_00000,16,7,304.6063369340331,564.4392710622128,46.070992617519664,False
sc_00000,16,8,361.51242501826806,560.5340369957006,62.95736038754531,False
sc_00000,16,9,397.05727826818713,573.4117754047356,80.27772386219125,False
sc_00000,16,10,432.2532450251838,591.1875487369739,99.64974048901102,False
sc_00000,16,11,466.721542268183,591.7757755673415,111.18391307167727,False
sc_00000,17,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,17,1,92.65304856291493,496.3824166814977,53.34859199566356,False
sc_00000,17,2,149.06875116727204,508.6588939602675,29.467539249905883,False
sc_00000,17,3,200.55658914529755,528.0752720194446,4.041262123701027,True
sc_00000,17,4,232.49218762625904,541.4020596065385,12.2971234268485,True
sc_00000,17,5,244.74841879031996,546.7605094809414,18.6753082747465,True
sc_00000,17,6,280.1780038909587,560.3080689168997,36.25414463278177,False
sc_00000,17,7,312.2716998056621,575.0681859361073,53.27801819654043,False
sc_00000,17,8,346.2027830351705,572.8439273374647,63.39287654366027,False
sc_00000,17,9,369.09707714484,563.6511798492401,66.81649919302045,False
sc_00000,17,10,399.0220761725998,584.2316035752098,85.70459435569029,False
sc_00000,17,11,451.9131064769117,598.0090716349581,109.09647289729556,False
sc_00000,18,0,64.62082300182485,460.36057681835655,78.44533449523323,False
sc_00000,18,1,112.55378725070673,475.52174444139865,56.063335055378026,False
sc_00000,18,2,145.17470019961962,494.30132778496227,37.08972521667278,False
sc_00000,18,3,152.7946328448906,524.96497569745,21.03878199478054,True
sc_00000,18,4,200.44770047489123,526.2550871170947,4.881710926241422,True
